wave flux
4057.449 58109.15
4057.499 59825.93
4057.549 58884.938
4057.599 58310.312
4057.649 59939.87
4057.699 59500.793
4057.749 59028.992
4057.799 57769.086
4057.849 60107.84
4057.899 58927.83
4057.9491 59615.3
4057.9991 61385.88
4058.0491 58626.684
4058.0991 59253.11
4058.1491 58943.86
4058.1991 59728.582
4058.2491 59608.02
4058.2991 59990.246
4058.3491 60764.24
4058.3991 60126.254
4058.4491 59909.12
4058.4991 58504.67
4058.5491 58201.04
4058.5991 59680.7
4058.6491 58710.87
4058.6991 60847.848
4058.7491 58233.625
4058.7991 59078.63
4058.8491 59752.47
4058.8991 58605.52
4058.9491 59365.367
4058.9991 59479.39
4059.0491 57948.184
4059.0991 59918.527
4059.1491 59953.84
4059.1991 58877.844
4059.2491 59204.062
4059.2991 58144.363
4059.3491 56450.06
4059.3991 57041.85
4059.4491 59112.715
4059.4991 58693.965
4059.5492 59666.27
4059.5992 59599.18
4059.6492 61348.72
4059.6992 60425.18
4059.7492 60395.207
4059.7992 59859.645
4059.8492 60341.453
4059.8992 61480.1
4059.9492 59372.37
4059.9992 58317.758
4060.0492 59447.15
4060.0992 60183.24
4060.1492 60348.473
4060.1992 58538.69
4060.2492 59911.383
4060.2992 60569.906
4060.3492 58821.28
4060.3992 59809.086
4060.4492 59116.19
4060.4992 59118.33
4060.5492 58111.01
4060.5992 57744.426
4060.6492 58324.734
4060.6992 57798.906
4060.7492 58618.63
4060.7992 58755.227
4060.8492 59766.434
4060.8992 59064.66
4060.9492 59316.598
4060.9992 58403.742
4061.0492 58165.152
4061.0992 59063.367
4061.1492 58159.688
4061.1993 58526.996
4061.2493 60091.1
4061.2993 61313.53
4061.3493 60960.61
4061.3993 60007.68
4061.4493 60200.8
4061.4993 60272.574
4061.5493 61411.215
4061.5993 59619.1
4061.6493 62360.293
4061.6993 60222.098
4061.7493 60767.707
4061.7993 59841.12
4061.8493 59512.77
4061.8993 62488.19
4061.9493 61110.402
4061.9993 60661.117
4062.0493 62215.168
4062.0993 57595.66
4062.1493 60072.273
4062.1993 59482.977
4062.2493 60888.52
4062.2993 60825.008
4062.3493 61456.254
4062.3993 61886.895
4062.4493 60360.617
4062.4993 57970.66
4062.5493 59861.664
4062.5993 60848.773
4062.6493 61370.41
4062.6993 60327.9
4062.7493 59761.824
4062.7994 59604.32
4062.8494 58975.777
4062.8994 57248.004
4062.9494 57938.168
4062.9994 58730.82
4063.0494 57845.54
4063.0994 60593.945
4063.1494 60492.9
4063.1994 61207.43
4063.2494 59313.074
4063.2994 59282.062
4063.3494 60656.574
4063.3994 60669.57
4063.4494 59789.17
4063.4994 61725.305
4063.5494 59587.45
4063.5994 62147.805
4063.6494 61374.125
4063.6994 59547.61
4063.7494 61307.555
4063.7994 62626.473
4063.8494 60335.805
4063.8994 58637.46
4063.9494 61194.65
4063.9994 59499.766
4064.0494 61072.65
4064.0994 60188.54
4064.1494 60161.805
4064.1994 61985.06
4064.2494 61541.496
